16061	272	1	1041	6.99	2022-07-19 06:32:02.911937+00
16064	273	2	980	0.99	2022-07-07 07:15:37.160099+00
16071	275	2	336	2.99	2022-07-04 09:47:03.440928+00
16072	276	1	736	3.99	2022-07-11 04:46:45.091689+00
16076	279	1	979	2.99	2022-07-24 10:07:49.460456+00
16094	288	2	565	5.99	2022-07-14 15:55:31.352314+00
16095	290	1	160	2.99	2022-07-18 18:44:37.9813+00
16102	293	2	1034	8.99	2022-07-20 16:20:24.393304+00
16108	296	2	956	2.99	2022-07-06 03:43:27.375499+00
16114	300	2	457	0.99	2022-07-05 05:02:05.370807+00
16116	300	1	1111	4.99	2022-07-14 04:55:30.951321+00
16121	302	2	92	5.99	2022-07-10 20:15:44.989839+00
16126	304	1	415	0.99	2022-07-07 15:31:55.630302+00
16132	307	1	535	4.99	2022-07-23 00:46:09.376135+00
16134	307	1	970	6.99	2022-07-12 04:10:35.832729+00
16137	309	2	723	0.99	2022-07-06 23:20:33.675343+00
16144	312	2	229	4.99	2022-07-06 10:02:59.220907+00
16160	318	1	224	9.99	2022-07-21 06:35:41.347175+00
16177	327	1	653	6.99	2022-07-18 04:15:27.637307+00
16179	330	1	704	3.99	2022-07-13 18:59:39.13037+00
16187	334	1	431	8.99	2022-07-06 17:09:24.685288+00
16193	343	2	102	3.99	2022-07-03 21:01:18.599942+00
16194	343	1	455	3.99	2022-07-15 23:36:11.210569+00
16206	351	1	1137	1.99	2022-07-06 08:34:24.044828+00
16212	355	1	1110	3.99	2022-07-17 13:25:01.108668+00
16239	369	2	854	0.99	2022-07-06 11:49:28.34667+00
16250	374	1	521	0.99	2022-07-09 20:48:19.975521+00
16260	379	1	863	4.99	2022-07-10 23:16:55.027998+00
16282	389	1	998	4.99	2022-07-20 23:24:21.986264+00
16283	390	1	254	4.99	2022-07-02 02:54:03.730481+00
16292	394	1	213	3.99	2022-07-17 09:59:22.434368+00
16298	399	2	694	6.99	2022-07-10 13:24:40.260995+00
16316	408	2	59	5.99	2022-07-16 03:23:48.145008+00
16321	412	2	191	0.99	2022-07-21 20:40:29.040522+00
16339	421	1	931	0.99	2022-07-26 06:28:01.379742+00
16340	422	1	398	0.99	2022-07-17 20:30:51.749754+00
16342	425	2	1098	5.99	2022-07-03 13:24:49.837413+00
16344	427	2	82	6.99	2022-07-15 05:52:27.931336+00
16348	429	2	601	7.99	2022-07-25 04:38:38.125062+00
16349	429	2	799	4.99	2022-07-01 23:57:09.239843+00
16359	434	2	508	5.99	2022-07-23 11:47:04.691644+00
16360	435	1	757	7.99	2022-07-15 06:21:42.624409+00
16361	435	1	806	4.99	2022-07-10 00:54:57.571469+00
16369	438	2	1036	0.99	2022-07-02 09:09:46.068677+00
16376	442	2	466	0.99	2022-07-13 01:04:31.62833+00
16378	442	1	632	5.99	2022-07-05 19:05:45.56652+00
16390	448	2	1123	2.99	2022-07-26 19:52:50.945254+00
16401	454	1	735	7.99	2022-07-25 23:52:22.598613+00
16413	462	2	590	3.99	2022-07-05 18:46:28.226844+00
16426	469	2	506	7.99	2022-07-07 16:18:16.247182+00
16428	469	2	936	1.99	2022-07-16 09:23:21.946558+00
16434	472	2	800	0.99	2022-07-07 02:41:10.022755+00
16443	476	1	771	2.99	2022-07-25 07:58:56.421741+00
16449	480	2	822	9.99	2022-07-19 18:29:31.053811+00
16458	485	1	1009	2.99	2022-07-09 13:53:46.196262+00
16476	498	2	49	2.99	2022-07-07 11:20:57.524605+00
16480	500	1	112	8.99	2022-07-15 01:51:02.666885+00
16482	500	1	610	0.99	2022-07-01 11:23:41.718698+00
16483	501	1	493	0.99	2022-07-10 23:32:20.107006+00
16491	503	1	631	2.99	2022-07-18 10:18:32.985347+00
16496	505	1	159	2.99	2022-07-20 20:17:32.273206+00
16497	505	1	645	2.99	2022-07-15 02:22:22.388988+00
16498	506	1	114	3.99	2022-07-21 00:39:35.80006+00
16499	506	2	387	2.99	2022-07-02 04:35:05.418562+00
16507	508	1	369	2.99	2022-07-01 19:34:13.708978+00
16508	508	2	921	2.99	2022-07-21 08:32:48.173052+00
16514	511	1	56	2.99	2022-07-27 04:39:00.482675+00
16520	516	2	339	3.99	2022-07-02 12:06:47.474722+00
16522	517	2	850	4.99	2022-07-02 02:05:15.307925+00
16525	520	1	962	6.99	2022-07-15 07:43:24.273821+00
16526	522	2	426	5.99	2022-07-10 16:44:03.456403+00
16527	523	1	42	4.99	2022-07-25 14:19:05.281645+00
16534	526	2	1015	2.99	2022-07-24 20:51:44.452505+00
16537	528	1	533	5.99	2022-07-10 13:10:32.088975+00
16543	531	1	681	2.99	2022-07-27 06:45:01.874389+00
16552	535	1	778	3.99	2022-07-16 18:02:01.530421+00
16562	541	1	1066	4.99	2022-07-01 01:25:17.371652+00
16583	550	2	922	7.99	2022-07-27 09:39:31.077634+00
16604	563	1	758	4.99	2022-07-19 22:13:43.761767+00
16610	566	2	234	5.99	2022-07-20 10:15:07.020538+00
16616	569	2	1037	3.99	2022-07-23 09:36:54.225847+00
16621	573	2	827	2.99	2022-07-20 09:58:33.049602+00
16622	574	2	433	0.99	2022-07-19 17:05:03.296928+00
16624	575	1	395	0.99	2022-07-24 15:53:43.162477+00
16637	584	1	626	4.99	2022-07-19 16:03:52.253965+00
16648	590	1	602	3.99	2022-07-13 21:39:03.136382+00
16668	204	2	857	4.99	2022-07-11 17:56:57.075958+00
16689	7	2	117	0.99	2022-07-01 16:08:33.07883+00
16705	14	2	815	0.99	2022-07-15 13:01:52.810333+00
