16053	269	2	703	0.99	2022-03-02 19:51:40.813503+00
16058	271	1	1096	8.99	2022-03-19 06:19:47.019162+00
16059	272	1	33	0.99	2022-03-12 13:32:36.628975+00
16060	272	1	405	6.99	2022-03-18 01:40:43.327915+00
16063	273	2	122	3.99	2022-03-14 12:07:41.127016+00
16080	281	2	754	2.99	2022-03-02 12:08:01.606714+00
16081	282	2	48	1.99	2022-03-13 14:36:24.38075+00
16089	287	1	655	2.99	2022-03-10 04:13:27.721005+00
16100	293	2	445	0.99	2022-03-01 04:28:36.945325+00
16112	299	1	332	5.99	2022-03-21 06:44:47.428768+00
16119	301	1	955	0.99	2022-03-22 04:00:36.948616+00
16120	302	2	38	4.99	2022-03-27 06:05:58.976733+00
16124	303	2	1050	4.99	2022-03-11 02:43:13.327528+00
16140	311	2	544	6.99	2022-03-05 02:53:20.020914+00
16143	311	2	1128	6.99	2022-03-23 00:50:03.654339+00
16158	316	1	1065	1.99	2022-03-07 21:57:53.669873+00
16165	321	1	620	5.99	2022-03-12 16:40:11.404266+00
16166	321	2	818	4.99	2022-03-22 00:38:13.379468+00
16170	323	2	729	2.99	2022-03-10 14:31:21.888741+00
16174	326	1	875	6.99	2022-03-29 09:38:35.996349+00
16176	326	2	1149	3.99	2022-03-23 10:31:59.987966+00
16200	346	1	810	4.99	2022-03-24 18:43:41.927206+00
16201	348	2	153	0.99	2022-03-18 23:32:23.927117+00
16204	350	1	24	4.99	2022-03-06 15:22:19.01729+00
16211	354	2	402	0.99	2022-03-20 21:54:29.95415+00
16219	359	2	392	2.99	2022-03-06 15:50:36.44658+00
16230	366	2	911	6.99	2022-03-17 19:23:21.879026+00
16231	367	1	939	0.99	2022-03-14 16:05:08.263798+00
16235	368	1	836	2.99	2022-03-17 21:54:12.109618+00
16252	374	2	919	0.99	2022-03-08 08:01:02.388262+00
16253	375	2	307	8.99	2022-03-11 16:04:40.099724+00
16263	381	2	406	2.99	2022-03-15 15:16:30.212956+00
16264	381	1	835	2.99	2022-03-30 09:22:38.958402+00
16276	387	2	302	4.99	2022-03-27 00:24:03.164039+00
16289	391	1	891	7.99	2022-03-04 21:06:45.856528+00
16290	393	1	599	4.99	2022-03-10 12:31:39.022182+00
16297	399	2	10	5.99	2022-03-20 22:31:35.826037+00
